question_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
[1],1,わたしは いもうと と （　）で すんでいます。,ふたつ,ふつか,ふつう,ふたり,4
[2],1,（　）を ひいたので 学校を 休んで うちで ねて いました。,かぜ,びょうき,けが,ねつ,1
[3],1,はやく 田中さんに （　）を かけて ください。,お金,でんわ,ふく,めがね,2
[4],1,きれいな （　）の 中に てがみが 入って いました。,ふうとう,きって,はがき,とうふ,1
[5],1,山下さんは からだの （　）が わるい そうです。,ぐあい,じゅんび,気分,気もち,1
[6],1,くらいですね。へやの （　）を つけて ください。,電気,天気,中,気,1
[7],1,（　）に 入ったので からだが あたたかく なりました。,オーバー,ふろ,ストーブ,だんぼう,2
[8],1,えはがきを 出したいんですが、いくらの （　）を はれば いいですか。,きっぷ,きって,ふうとう,お金,2
[9],1,としょかんは （　）を わたって すぐです。,えき,はし,うみ,こうえん,2
[10],1,うけつけで （　）を はらって ください。,きっぷ,よやく,お金,名前,3
[11],1,（　）を わかして ください。,ごはん,おゆ,さかな,おさけ,2
[12],1,（　）は じぶんで するよりも 見る ほうが すきです。,スポーツ,ネクタイ,アルバイト,プール,1
[13],1,きのう 山川さんと （　）で しょくじを しました。,ビル,コップ,レストラン,サンドイッチ,3
[14],1,まどの （　）を きれいに みがいて ください。,ナイフ,フォーク,コップ,ガラス,4
[15],1,ひるごはんの 後で （　）を 2はい のみます。,バター,コーヒー,スプーン,タバコ,2
[16],1,しけんが ちかいので しっかり （　）を とって います。,ノート,テスト,レコード,ペン,1
[17],1,（　）で ようふくを かって もらう つもりです。,アパート,デパート,ワイシャツ,スカート,2
[18],1,えき前の （　）は しょくりょうひんが やすいです。,ホテル,スーパー,ビル,レストラン,2
[19],1,（　）を して、もらった お金で 外国へ 行きます。,アルバイト,アパート,エレベーター,カーテン,1
[20],1,きょうかいで （　）が ひらかれます。,コンサート,ギター,バイオリン,ピアノ,1
[21],1,さむいので ほうしを （　）。,きました,かぶりました,かけました,はきました,2
[22],1,わたしは あさと よる はを （　）。,みがきます,そうじします,あらいます,きります,1
[23],1,ことばの いみが わからない ときは、じしょを （　）ください。,さがして,よんで,ひいて,きいて,3
[24],1,雨が ふっている ようです。かさを （　）いる 人が います。,上げて,つれて,さして,もって,3
[25],1,わかった 人は てを （　）ください。,して,あげて,さして,聞いて,2
[26],1,えきで （　）人に みちを 聞かれました。,あわない,おもわない,しらない,わからない,3
[27],1,タクシーで 行けば パーティーの 時間に （　）そうです。,つき,おくれ,行き,まにあい,4
[28],1,としょかんで 本を 4さつ （　）。,かいました,かりました,かしました,書きました,2
[29],1,あついので まどを （　）ください。,あけて,かけて,とって,つけて,1
[30],1,いろいろと お世話に （　）、ほんとうに ありがとうございました。,なりまして,かけまして,しまして,くださって,1
[31],1,だんぼうを 入れたので へやが （　）なりました。,あたたかく,つめたく,さむく,すずしく,1
[32],1,この くすりは とても （　）です。,うれしい,むずかしい,にがい,きたない,3
[33],1,先生に （　）本を いただきました。,あかるい,おもしろい,いそがしい,おおい,2
