question_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
1,ませんでした,ある,なかった,ありませんでした,ありません,ありました,B
2,ませんでした,いる,いない,いました,いません,いませんでした,D
3,ませんでした,行く,行きませんでした,行かない,行きません,行った,A
4,ませんでした,来る,こなかった,きません,きませんでした,きました,C
5,ませんでした,帰る,帰らない,帰りませんでした,帰りません,帰った,B
6,ませんでした,見る,見ない,見ました,見ません,見ませんでした,D
7,ませんでした,聞く,聞きませんでした,聞かない,聞きません,聞いた,A
8,ませんでした,話す,話さない,話しません,話しませんでした,話した,C
9,ませんでした,言う,言わない,言いませんでした,言いません,言った,B
10,ませんでした,読む,読まない,読みません,読みました,読みませんでした,D
11,ませんでした,書く,書きませんでした,書かない,書きません,書いた,A
12,ませんでした,食べる,食べない,食べません,食べませんでした,食べました,C
13,ませんでした,飲む,飲まない,飲みませんでした,飲みません,飲んだ,B
14,ませんでした,寝る,寝ない,寝ません,寝ました,寝ませんでした,D
15,ませんでした,起きる,起きませんでした,起きない,起きません,起きた,A
16,ませんでした,する,しない,しません,しませんでした,した,C
17,ませんでした,勉強する,勉強しない,勉強しませんでした,勉強しません,勉強した,B
18,ませんでした,働く,働かない,働きません,働きました,働きませんでした,D
19,ませんでした,休む,休みませんでした,休まない,休ませません,休んだ,A
20,ませんでした,会う,会わない,会いません,会いませんでした,会った,C
21,ませんでした,買う,買わない,買いませんでした,買いません,買った,B
22,ませんでした,売る,売らない,売りません,売りました,売りませんでした,D
23,ませんでした,作る,作りませんでした,作らない,作りません,作った,A
24,ませんでした,使う,使わない,使いません,使いませんでした,使った,C
25,ませんでした,泳ぐ,泳がない,泳ぎませんでした,泳ぎません,泳いだ,B
26,ませんでした,遊ぶ,遊ばない,遊びません,遊びました,遊びませんでした,D
27,ませんでした,歌う,歌いませんでした,歌わない,歌いません,歌った,A
28,ませんでした,待つ,待たない,待ちません,待ちませんでした,待った,C
29,ませんでした,立つ,立たない,立ちませんでした,立ちません,立った,B
