question_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
1,1,おんせんに＿＿＿＿みたいです。,入って,入ります,入りません,入った,A
2,1,スキーを＿＿＿＿みたいです。,します,して,しません,した,B
3,1,雪まつりを＿＿＿＿みたいです。,見ます,見た,見て,見ません,C
4,1,着物を＿＿＿＿みたいです。,着ません,着ます,着った,着って,D
5,1,日本のお酒を＿＿＿みたいです。,飲みません,飲まない,飲んで,飲んだ,C
6,2,外は＿＿＿＿。,寒い,寒そうです,寒いから,寒いので,B
7,2,明日は天気が＿＿＿＿＿。,よさそうです,よさます,よさみた,よかった,A
8,2,このケーキは＿＿＿そうです。,美味しいもの,美味しかった,美味しい,美味し,D
9,2,この車は＿＿＿＿＿そうです。,新し,新しい,新しくない,新しいい,A
10,2,大下さんは＿＿＿＿そうです。,忙しい,忙しくて,忙し,忙しくなかった,C
11,2,お父さんは＿＿＿＿。,きびしい,きびしそう,きびしくない,きびしくなかった,B
12,3,"A:昨日、どうして来なかったんですか。
B: すみません。熱が＿＿＿＿＿。(reason)",あったんです,あって,あります,ありますん,A
13,3,"A:山田さんは歌わないんです。
B:ええ、歌が＿＿＿＿＿。(reason)",下手い,下手な,下手んです,下手んで,C
14,3,"A:どうしたんですか。
B: 蝶と気分が＿＿＿んです。",悪て,悪んで,悪くない,悪い,D
15,3,"あれ、山田さん、今日仕事は？
今日は＿＿＿＿。",休みなんです,休みませんです,休みしたいです,休み,A
16,3,"そうのシャツ、きれいですね。どこで＿＿＿＿。(polite)
駅前のデパートです。",買ます,買ったんですか,買ったか,買つた,B
17,4,この料理の＿＿＿＿を教えて下さい,作ります,作り方,作りた,作りて,B
18,4,この漢字の＿＿＿＿がわかりますか。,読んだ,読んで,読みます,読み方,D
19,4,日本の着物の＿＿＿＿＿が分かりません,着方,着ます,着って,着った,A
20,4,あなたはこのゲームの＿＿＿＿＿を知っていますか,遊びます,遊んで,遊び方,遊んだ,C
21,4,これは上手な＿＿＿＿＿の本です。スピーチの前に読んでください,話します,話して,話しだ,話し方,D
22,5,ニュースを＿＿＿＿＿ので、その事故を知りませんでした。,見なかった,,,,A
23,5,兄は映画が＿＿＿＿ので、よく見に行きます。,,answer,,,B
24,5,今日は＿＿＿ので、学校は休みです。,,,answer,,C
25,5,パソコンが＿＿＿＿＿ので、新しいのを買いました。,,,,answer,D
26,5,私の家は駅から＿＿＿＿＿ので、不便です。,answer,,,,A
