question_number,question,choice_a,choice_b,choice_c,choice_d,answer
1,褒める (Praise),褒めなれば,褒めなければ,褒めらなければ,褒めれば,B
2,誘う (Invite),誘わなけば,誘わなれば,誘わないければ,誘わなければ,D
3,助ける (Help),助けなれば,助けらなければ,助けなければ,助けるなければ,C
4,頼む (Ask),頼まなければ,頼みなければ,頼まければ,頼めなければ,A
5,招待する (Invite),招待すなければ,招待したければ,招待しらなければ,招待しなければ,D
6,ある (To be/exist),あらなければ,なければ,ありなければ,あななければ,B
7,いる (To be/exist),いななければ,いなければ,いらなければ,いれば,B
8,行く (Go),行きなければ,行かなれば,行かななければ,行かなければ,D
9,来る (Come),きなければ,来なければ,こなれば,くるなければ,B
10,帰る (Return),帰りなければ,帰らなれば,帰らなければ,帰れなければ,C
11,見る (See),見らなければ,見なければ,見なれば,見ななければ,B
12,聞く (Listen),聞かなければ,聞きなければ,聞かなれば,聞けなければ,A
13,話す (Speak),話しななければ,話せなければ,話さなければ,話さなけば,C
14,言う (Say),言わなければ,言わなけば,言わなれば,言いなければ,A
15,読む (Read),読みなければ,読まければ,読めなければ,読まなければ,D
16,書く (Write),書けなければ,書かなければ,書きなければ,書くなければ,B
17,食べる (Eat),食べなければ,食べなれば,食べらなければ,食べるなければ,A
18,飲む (Drink),飲めなければ,飲みなければ,飲まなければ,飲みなれば,C
19,寝る (Sleep),寝らなければ,寝なれば,寝なければ,寝るければ,C
20,起きる (Wake up),起きなければ,起きらなければ,起きなれば,起きるなければ,A
21,する (Do),さなければ,しなければ,すらなければ,しなれば,B
22,勉強する (Study),勉強したければ,勉強すらなければ,勉強しなれば,勉強しなければ,D
23,働く (Work),働きなければ,働かなれば,働かなければ,働けなければ,C
24,休む (Rest),休まなければ,休みなければ,休まなれば,休めなければ,A
25,会う (Meet),会わなけば,会わなければ,会あなければ,会いなければ,B
26,買う (Buy),買あなければ,買わなれば,買わなければ,買わなけば,C
27,売る (Sell),売りなければ,売れなければ,売らなれば,売らなければ,D
28,作る (Make),作らなければ,作りなければ,作れなければ,作らなれば,A
29,使う (Use),使あなければ,使わなければ,使わなけば,使いなければ,B
30,泳ぐ (Swim),泳げなければ,泳がなれば,泳がなければ,泳ぎなければ,C
31,遊ぶ (Play),遊びなければ,遊べなければ,遊ばなれば,遊ばなければ,D
32,歌う (Sing),歌わなければ,歌わなれば,歌あなければ,歌いなければ,A
33,待つ (Wait),待たなれば,待たなければ,待ちなければ,待てなければ,B
34,立つ (Stand),立ちなければ,立たなれば,立たなければ,立てなければ,C
35,座る (Sit),座りなければ,座れなければ,座らなれば,座らなければ,D
36,歩く (Walk),歩かなければ,歩きなければ,歩かなれば,歩けなければ,A
37,走る (Run),走りなければ,走らなければ,走れなければ,走らなれば,B
38,入る (Enter),入れなければ,入らなれば,入らなければ,入りなければ,C
39,出る (Exit),出らなければ,出なれば,出れば,出なければ,D
40,開ける (Open - trans.),開けなければ,開けなれば,開けらなければ,開けるなければ,A
41,開く (Open - intrans.),開けなければ,開かなければ,開きなければ,開かなれば,B
42,閉める (Close - trans.),閉めなれば,閉めらなければ,閉めなければ,閉めるなければ,C
43,閉まる (Close - intrans.),閉まりなければ,閉まれなければ,閉まらなれば,閉まらなければ,D
44,見せる (Show),見せなければ,見せなれば,見せらなければ,見せるなければ,A
45,貸す (Lend),貸さなけば,貸さなければ,貸しなければ,貸せなければ,B
46,借りる (Borrow),借りらなければ,借りなれば,借りなければ,借りるなければ,C
47,教える (Teach),教えなれば,教えらなければ,教えるなければ,教えなければ,D
48,習う (Learn),習わなければ,習わなけば,習わなれば,習あなければ,A
49,分かる (Understand),分かれなければ,分からなければ,分かりなければ,分からなれば,B
50,分ける (Divide),分けなれば,分けらなければ,分けなければ,分けるなければ,C
