question,choice_a,choice_b,choice_c,choice_d,answer
褒める,褒められる,褒めさせる,褒めるられる,褒まれる,A
誘う,誘わさる,誘われる,誘える,誘うられる,B
助ける,助かれる,助けさせる,助けられる,助けるられる,C
頼む,頼める,頼まさせる,頼みられる,頼まれる,D
招待する,招待されるられる,招待させる,招待される,招待したれる,C
ある,ありえる,あられる,あらせる,あられるれる,B
いる,いられる,いれる,いさせる,いらる,A
行く,行かせる,行かれる,行ける,行きられる,B
来る,来させる,来れる,来られる,来るられる,C
帰る,帰りられる,帰らせる,帰れる,帰られる,D
見る,見れる,見させる,見られる,見るられる,C
聞く,聞ける,聞かれる,聞かせる,聞きられる,B
話す,話される,話せる,話さる,話しられる,A
言う,言える,言われる,言わせる,言いられる,B
読む,読める,読ませる,読まれる,読みられる,C
書く,書ける,書かせる,書かれるられる,書かれる,D
食べる,食べれる,食べさせる,食べられる,食べられるれる,C
飲む,飲める,飲まれる,飲ませる,飲みられる,B
寝る,寝られる,寝れる,寝させる,寝るられる,A
起きる,起きれる,起きられる,起きさせる,起きられるれる,B
する,される,できる,させる,しられる,A
勉強する,勉強される,勉強できる,勉強させる,勉強しられる,A
働く,働ける,働かせる,働かれる,働きられる,C
休む,休める,休ませる,休みられる,休まれる,D
会う,会える,会わせる,会いられる,会われる,D
買う,買える,買わせる,買われる,買いられる,C
売る,売られる,売れる,売らせる,売りられる,A
作る,作れる,作らせる,作りられる,作られる,D
使う,使える,使われる,使わせる,使いられる,B
泳ぐ,泳げる,泳がせる,泳がれる,泳ぎられる,C
遊ぶ,遊ばれる,遊べる,遊ばせる,遊びられる,A
歌う,歌える,歌われる,歌わせる,歌いられる,B
待つ,待てる,待たせる,待たれる,待ちられる,C
立つ,立てる,立たせる,立ちられる,立たれる,D
座る,座れる,座られる,座らせる,座りられる,B
歩く,歩かれる,歩ける,歩かせる,歩きられる,A
走る,走れる,走らせる,走られる,走りられる,C
入る,入れる,入らせる,入られる,入りられる,C
出る,出られる,出れる,出させる,出られるれる,A
開ける,開けれる,開けさせる,開けられるれる,開けられる,D
開く,開ける,開かれる,開かせる,開きられる,B
閉める,閉められる,閉めれる,閉めさせる,閉められるれる,A
閉まる,閉まれる,閉まられる,閉まらせる,閉まりられる,B
見せる,見せれる,見せさせる,見せられる,見せられるれる,C
貸す,貸せる,貸させる,貸しられる,貸される,D
借りる,借りられる,借りれる,借りさせる,借りられるれる,A
教える,教えれる,教えられる,教えさせる,教えらる,B
習う,習える,習わせる,習われる,習いられる,C
分かる,分かれる,分からせる,分かりられる,分かられる,D
分ける,分けられる,分けれる,分けさせる,分けられるれる,A
忘れる,忘れれる,忘れられる,忘れさせる,忘れられるれる,B
覚える,覚えれる,覚えさせる,覚えられる,覚えらる,C
