question,choice_a,choice_b,choice_c,choice_d,answer
ある,あるない,ない,あらない,ありない,B
いる,いらない,いりない,いない,いるない,C
行く,行きない,行かない,行けない,行こない,B
来る,来ない,来れない,来らない,来るない,A
見る,見えなない,見まない,見ない,見らない,C
食べる,食べまない,食べない,食べらない,食べるない,B
飲む,飲めない,飲まない,飲みない,飲もなない,B
寝る,寝えなない,寝まない,寝らない,寝ない,D
する,すらない,するない,しない,せない,C
勉強する,勉強すらない,勉強しない,勉強せない,勉強するない,B
働く,働こない,働きない,働かない,働けない,C
会う,会えない,会わない,会おない,会いない,B
買う,買わない,買おない,買えない,買いない,A
売る,売ろなない,売れない,売らない,売りない,C
使う,使いない,使まない,使えない,使わない,D
泳ぐ,泳ぎない,泳がない,泳げない,泳ごなない,B
待つ,待てない,待つない,待たない,待ちない,C
立つ,立となない,立ちない,立てない,立たない,D
座る,座れない,座ろない,座りない,座らない,D
走る,走ろない,走らない,走りない,走れない,B
出る,出まない,出らない,出えなない,出ない,D
開ける,開けるない,開けまない,開けらない,開けない,D
閉める,閉めえなない,閉めない,閉めまない,閉めらない,B
閉まる,閉まりない,閉まろなない,閉まれない,閉まらない,D
貸す,貸さない,貸せない,貸しなない,貸そない,A
借りる,借りまない,借りない,借りらない,借りるない,B
教える,教えまない,教えるなない,教えない,教えらない,C
分かる,分かろない,分からない,分かれない,分かりない,B
忘れる,忘れまない,忘れるなない,忘れない,忘れらない,C
要る,いらない,要りない,要らない,要ろない,A
帰る,帰れない,帰らない,帰りない,帰ろない,B
見る,見まない,見えない,見ない,見らない,C
聞く,聞きない,聞かない,聞けない,聞こない,B
話す,話しなない,話そない,話せない,話さない,D
言う,言いなない,言わない,言えない,言わなない,B
読む,読めない,読みない,読まない,読もなない,C
書く,書こない,書きない,書けない,書かない,D
食べる,食べらない,食べない,食べるない,食べまない,B
寝る,寝まない,寝ない,寝らない,寝えなない,B
起きる,起きない,起きまない,起きらない,起きるない,A
働く,働けない,働きない,働かない,働こない,C
休む,休めない,休みない,休まない,休もなない,C
会う,会いなない,会おない,会えない,会わない,D
売る,売りない,売れない,売ろなない,売らない,D
作る,作りない,作らない,作れない,作ろない,B
