question,choice_a,choice_b,choice_c,choice_d,answer
ある,あてた,あった,あんだ,あえた,B
いる,いんだ,いえた,いた,いった,C
行く,行った,行てた,行えた,行んだ,A
来る,来た,来いた,来った,来んだ,A
帰る,帰てた,帰った,帰いた,帰んだ,B
見る,見んだ,見った,見た,見いた,C
聞く,聞んだ,聞った,聞てた,聞いた,D
話す,話いた,話った,話した,話んだ,C
言う,言えた,言いた,言った,言んだ,C
読む,読った,読でた,読んた,読んだ,D
書く,書いた,書んだ,書った,書てた,A
食べる,食んだ,食べた,食いた,食った,B
飲む,飲んだ,飲んだ,飲んだ,飲んだ,A
寝る,寝た,寝った,寝いた,寝んだ,A
起きる,起きんだ,起きった,起きいた,起きた,D
する,しんだ,しった,した,しいた,C
勉強する,勉強しった,勉強しんだ,勉強した,勉強しいた,C
働く,働いって,働いた,働いんだ,働いだ,B
休む,休んだ,休んった,休んした,休んてた,A
会う,会てた,会った,会た,会いた,B
買う,買いた,買いった,買った,買んだ,C
売る,売いた,売った,売てた,売んた,B
作る,作った,作いた,作てた,作んた,A
使う,使いた,使てた,作んた,使った,D
泳ぐ,泳いた,泳でた,泳いだ,泳った,C
遊ぶ,遊てた,遊んだ,遊でた,遊った,B
歌う,歌てた,歌った,歌んだ,歌いた,B
待つ,待った,待てた,待いた,待んだ,A
立つ,立いた,立った,立てた,立んだ,B
座る,座いた,座てた,座った,座んだ,C
歩く,歩てた,歩いた,歩った,歩んだ,B
走る,走てた,走いた,走った,走んだ,C
入る,入てた,入んだ,入いた,入った,D
出る,出た,出いた,出んだ,出った,A
開ける,開けいた,開けた,開けんだ,開けった,B
開く,開てた,開いた,開った,開んだ,C
閉める,閉った,閉めんだ,閉めた,閉めった,C
閉まる,閉まいた,閉まった,閉まんだ,閉まてた,B
見せる,見せった,見せた,見せんだ,見せいた,B
貸す,貸した,貸しった,貸しんだ,貸しいた,A
借りる,借りいた,借りんだ,借りった,借りた,D
教える,教えいた,教えんだ,教えった,教えた,D
習う,習った,習いた,習てた,習んだ,A
分かる,分かてた,分かった,分かいた,分かんだ,B
分ける,分けた,分けった,分けんだ,分けいた,A
忘れる,忘れった,忘れいた,忘れた,忘れんだ,C
覚える,覚えんだ,覚えいた,覚えた,覚えった,C
要る,要んだ,要いた,要てた,要った,D
置く,置いた,置てた,置んだ,置いった,A
切る,切てた,切った,切んだ,切いた,B
消す,消しんだ,消した,消しいた,消しった,B
消える,消えんだ,消えいた,消えた,消えった,C
押す,押んだ,押いいた,押した,押した,C
引く,引いた,引てた,引った,引んだ,A
乗る,乗んだ,乗った,乗てた,乗いた,B
降りる,降りんだ,降りいた,降りた,降りった,C
着る,着いた,着た,着んだ,着った,B
脱ぐ,脱った,脱てた,脱いた,脱いだ,D
洗う,洗んだ,洗いた,洗てた,洗った,D
掃除する,掃除した,掃除しいた,掃除てた,掃除しいた,A
洗濯する,洗濯しった,洗濯した,洗濯てた,洗濯んだ,B
晴れる,晴れった,晴れた,晴れんだ,晴れいた,B
降る,降いた,降てた,降った,降んだ,C
いる（要る）,いっだ,いんだ,いた,いった,D
始まる,始まてた,始まった,始まいた,始まんだ,B
終わる,終わった,終わてた,終わんだ,終わいた,A
返す,返しいた,返しった,返した,返んだ,C
帰る,帰てた,帰んだ,帰った,帰いた,C
撮る,撮った,撮てた,撮いた,撮んだ,A
取る,取った,取てた,取いた,取んだ,A
持つ,持んだ,持てた,持いた,持った,D
持って行く,持って行いた,持って行んだ,持って行った,持って行てた,C
持って来る,持って来た,持って来った,持って来いた,持って来んだ,B
分かれる,分かれた,分かれった,分かれんだ,分かれいた,A
困る,困んだ,困った,困てた,困いた,B
死ぬ,死った,死てた,死んだ,死いた,C
曲がる,曲がんだ,曲がいた,曲がてた,曲がった,D
開ける,開けた,開けった,開けんだ,開けいた,A
閉める,閉めった,閉めた,閉めいた,閉めんだ,B
押す,押いた,押しんだ,押した,押しった,C
鳴く,鳴んだ,鳴った,鳴てた,鳴いた,D
笑う,笑てた,笑いた,笑った,笑んだ,C
泣く,泣てた,泣いた,泣った,泣んだ,B
探す,探した,探てた,探しった,探しんだ,A
住む,住んた,住んだ,住んった,住んした,B
吸う,吸てた,吸いた,吸った,吸んだ,C
使う,使いた,使てた,使った,使んだ,C
聞こえる,聞こえんだ,聞こえいた,聞こえった,聞こえた,D
見える,見えいた,見えった,見えた,見えんだ,C
立てる,立てった,立てた,立ていた,立てんだ,B
入れる,入れた,入れった,入れんだ,入れいた,A
出す,出した,出しった,出てた,出いた,A
消す,消いた,消った,消した,消てた,C
見つける,見つけいた,見つけった,見つけた,見つけした,C
かかる,かかんだ,かかいた,かかてた,かかった,D
要る,いった,要てた,要いた,要した,A
頑張る,頑張てた,頑張った,頑張んだ,頑張いた,B
練習する,練習った,練習しいた,練習した,練習てた,C
散歩する,散歩した,散歩いた,散歩んだ,散歩んだ,A
結婚する,結婚しった,結婚した,結婚いた,結婚しんだ,B
旅行する,旅行しった,旅行した,旅行いた,旅行んだ,B
有る,有いた,有んだ,有てた,有った,D
成る,なった,成てた,成いた,成んだ,A
