question,choice_a,choice_b,choice_c,choice_d,answer
ある,あて,あって,あんで,あえて,B
いる,いんで,いえて,いて,いって,C
行く,行って,行て,行えて,行んで,A
来る,来て,来いて,来って,来んで,A
帰る,帰て,帰って,帰いて,帰んで,B
見る,見んで,見って,見て,見いて,C
聞く,聞んで,聞って,聞て,聞いて,D
話す,話いて,話って,話して,話んで,C
言う,言えて,言いて,言って,言んで,C
読む,読って,読で,読んて,読んで,D
書く,書いて,書んで,書って,書て,A
食べる,食んで,食べて,食いて,食って,B
飲む,飲んで,飲んで,飲んで,飲んで,A
寝る,寝て,寝って,寝いて,寝んで,A
起きる,起きんで,起きって,起きいて,起きて,D
する,しんで,しって,して,しいて,C
勉強する,勉強しって,勉強しんで,勉強して,勉強しいて,C
働く,働いって,働いて,働いんで,働いで,B
休む,休んで,休んっで,休んして,休んて,A
会う,会て,会って,会っで,会いて,B
買う,買いて,買いって,買って,買いんで,C
売る,売いて,売って,売て,売んて,B
作る,作って,作いて,作て,作んて,A
使う,使いて,使て,作んて,使って,D
泳ぐ,泳いて,泳で,泳いで,泳っで,C
遊ぶ,遊て,遊んで,遊で,遊っで,B
歌う,歌て,歌って,歌んで,歌いて,B
待つ,待って,待て,待いて,待んで,A
立つ,立いて,立って,立て,立んで,B
座る,座いて,座て,座って,座んで,C
歩く,歩て,歩いて,歩って,歩んで,B
走る,走て,走いて,走って,走んで,C
入る,入て,入んで,入いて,入って,D
出る,出て,出いて,出んで,出って,A
開ける,開けいて,開けて,開けんで,開けって,B
開く,開て,開いて,開って,開んで,C
閉める,閉って,閉めんで,閉めて,閉めって,C
閉まる,閉まいて,閉まって,閉まんで,閉まて,B
見せる,見せって,見せて,見せんで,見せいて,B
貸す,貸して,貸しって,貸しんで,貸しいて,A
借りる,借りいて,借りんで,借りって,借りて,D
教える,教えいて,教えんで,教えって,教えて,D
習う,習って,習いて,習て,習んで,A
分かる,分かて,分かって,分かいて,分かんで,B
分ける,分けて,分けって,分けんで,分けいて,A
忘れる,忘れって,忘れいて,忘れて,忘れんで,C
覚える,覚えんで,覚えいて,覚えて,覚えって,C
要る,要んで,要いて,要て,要って,D
置く,置いて,置て,置んで,置いって,A
切る,切て,切って,切んで,切いて,B
消す,消しんで,消して,消しいて,消しって,B
消える,消えんで,消えいて,消えて,消えって,C
押す,押んで,押しいて,押して,押しって,C
引く,引いて,引て,引って,引んで,A
乗る,乗んで,乗って,乗て,乗いて,B
降りる,降りんで,降りいて,降りて,降りって,C
着る,着いて,着て,着んで,着って,B
脱ぐ,脱って,脱て,脱いて,脱いで,D
洗う,洗んで,洗いて,洗て,洗って,D
掃除する,掃除して,掃除しいて,掃除て,掃除しいて,A
洗濯する,洗濯しって,洗濯して,洗濯て,洗濯んで,B
晴れる,晴れって,晴れて,晴れんで,晴れいて,B
降る,降いて,降て,降って,降んで,C
いる（要る）,いっで,いんで,いて,いって,D
始まる,始まて,始まって,始まいて,始まんで,B
終わる,終わって,終わて,終わんて,終わいて,A
返す,返しいて,返しって,返して,返んで,C
帰る,帰て,帰んて,帰って,帰いて,C
撮る,撮って,撮て,撮いて,撮んで,A
取る,取って,取て,取いて,取んで,A
持つ,持んで,持て,持いて,持って,D
持って行く,持って行いて,持って行んで,持って行って,持って行て,C
持って来る,持って来って,持って来て,持って来いて,持って来んで,B
分かれる,分かれて,分かれって,分かれんで,分かれいて,A
困る,困んで,困って,困て,困いて,B
死ぬ,死って,死て,死んで,死いて,C
曲がる,曲がんで,曲がいて,曲がて,曲がって,D
開ける,開けて,開けって,開けんで,開けいて,A
閉める,閉めって,閉めて,閉めいて,閉めんで,B
押す,押いて,押しんで,押して,押しって,C
鳴く,鳴んで,鳴って,鳴て,鳴いて,D
笑う,笑て,笑いて,笑って,笑んで,C
泣く,泣て,泣いて,泣って,泣んで,B
探す,探して,探て,探しって,探しんで,A
住む,住んて,住んで,住んって,住んして,B
吸う,吸て,吸いて,吸って,吸んで,C
使う,使いて,使て,使って,使んで,C
聞こえる,聞こえんで,聞こえいて,聞こえって,聞こえて,D
見える,見えいて,見えって,見えて,見えんで,C
立てる,立てって,立てて,立ていて,立てんで,B
入れる,入れて,入れって,入れんで,入れいて,A
出す,出して,出しって,出て,出いて,A
消す,消いて,消って,消して,消て,C
見つける,見つけいて,見つけって,見つけて,見つけして,C
かかる,かかんで,かかいて,かかて,かかって,D
要る,要って,要て,要いて,要して,A
頑張る,頑張て,頑張って,頑張んで,頑張いて,B
練習する,練習って,練習しいて,練習して,練習て,C
散歩する,散歩して,散歩いて,散歩んで,散歩んで,A
結婚する,結婚しって,結婚して,結婚いて,結婚しんで,B
旅行する,旅行しって,旅行して,旅行いて,旅行んで,B
有る,有いて,有んで,有て,有って,D
成る,成って,成て,成いて,成んで,A
