question,choice_a,choice_b,choice_c,choice_d,answer
ある,ありまう,ありました,あるます,あります,D
いる,いります,いません,います,いるます,C
行く,行きる,行かます,行きます,行きたます,C
来る,来ます,来みます,来めます,来ります,A
帰る,帰りません,帰ります,帰りまする,帰るます,B
見る,見ります,見ませます,見ります,見ます,D
聞く,聞きません,聞きます,聞きります,聞きませんでした,B
話す,話しません,話さます,話します,話しします,C
言う,言ういます,言うません,言あます,言います,D
読む,読みます,読まます,読もます,読みません,A
書く,書かます,書きます,書けます,書くます,B
食べる,食ばます,食びます,食ばます,食べます,D
飲む,飲もます,飲みます,飲めます,飲まます,B
寝る,寝ます,寝めます,寝みます,寝みす,A
起きる,起きます,起かます,起けます,起こます,A
する,しみます,さます,します,せます,C
勉強する,勉強そます,勉強せます,勉強さます,勉強します,D
働く,働かます,働きます,働けます,働くます,B
休む,休もます,休めます,休みます,休まます,C
会う,会おます,会えます,会います,会あます,C
買う,買おます,買います,買あます,買えます,B
売る,売ります,売らます,売ろます,売らます,A
作る,作らます,作ります,作ろます,作れます,B
使う,使えます,使あます,使おます,使います,D
泳ぐ,泳じます,泳げます,泳ぎます,泳がます,C
遊ぶ,遊ばます,遊びます,遊べます,遊ぽます,B
歌う,歌おます,歌います,歌あます,歌かます,B
待つ,待ちます,待ちゃます,待きます,待います,A
立つ,立あます,立こます,立ちます,立います,C
座る,座れます,座ろます,座らます,座ります,D
歩く,歩けます,歩こます,歩かます,歩きます,D
走る,走れます,走ろます,走ります,走らます,C
入る,入らます,入ります,入れます,入ろます,B
出る,出ます,出めす,出でます,出めます,A
開ける,開かます,開けます,開かます,開こます,B
開く,開かます,開こます,開きます,開けます,C
閉める,閉もます,閉まます,閉めます,閉みます,C
閉まる,閉まらます,閉まります,閉まれます,閉まろます,B
見せる,見せます,見さます,見そます,見すます,A
貸す,貸すます,貸そます,貸さます,貸します,D
借りる,借れます,借ろます,借らます,借ります,D
教える,教えます,教おます,教うます,教います,A
習う,習あます,習います,習うます,習えます,B
分かる,分かろます,分かれます,分からます,分かります,D
分ける,分かます,分けます,分こます,分らます,B
忘れる,忘れます,忘ります,忘ろます,忘るます,A
覚える,覚います,覚あます,覚えます,覚おます,C
要る,いれます,いろます,いります,いらます,C
置く,置きます,置かます,置こます,置こます,A
切る,切ります,切らます,切れます,切ろます,A
消す,消さます,消します,消せます,消すます,B
消える,消おます,消えます,消あます,消うます,B
押す,押さます,押せます,押します,押すます,C
引く,引きます,引くます,引くます,引かます,A
乗る,乗らます,乗ります,乗れます,乗るます,B
降りる,降れます,降ります,降ろます,降らます,B
着る,着ます,着ります,着らます,着れます,A
脱ぐ,脱がます,脱げます,脱ぎます,脱ごます,C
洗う,洗います,洗うます,洗おます,洗らます,A
掃除する,掃除さる,掃除する,掃除すます,掃除します,D
洗濯する,洗濯さます,洗濯します,洗濯すます,洗濯せます,B
晴れる,晴らます,晴るます,晴れます,晴ります,C
降る,降らます,降ります,降ろます,降るます,B
いる（要る）,いります,います,いらます,いろます,A
始まる,始まらます,始みります,始まります,始まらます,C
終わる,終わります,終わらます,終わるます,終わろます,A
返す,返すます,返すります,返します,返さます,C
帰る,帰らます,帰ります,帰るます,帰ろます,B
撮る,撮ります,撮らます,撮ろます,撮れます,A
取る,取ろます,取るます,取らます,取ります,D
持つ,持ずます,持ちます,持じゅます,持ぞます,B
持って行く,持っと行きます,持った行きます,持って行きます,持って行もきます,C
持って来る,持っと来ます,持って来ます,持った来ます,持っつ来ます,B
分かれる,分かるます,分かります,分からます,分かれます,D
困る,困れます,困ろます,困ります,困らます,C
死ぬ,死ねます,死にます,死にねます,死えにます,B
曲がる,曲がらます,曲がれます,曲ごります,曲がります,D
開ける,開れます,開けくます,開けます,開きます,C
閉める,閉めます,閉めみます,閉めまます,閉もます,A
押す,押します,押すます,押すします,押せます,A
鳴く,鳴ききます,鳴きます,鳴かます,鳴きかきます,B
笑う,笑ます,笑います,笑うます,笑あます,B
泣く,泣きます,泣じます,泣かます,泣きけます,A
探す,探すます,探せます,探さます,探します,D
住む,住みみます,住みます,住むます,住めます,B
吸う,吸えます,吸いいます,吸います,吸ます,C
使う,使います,使ます,使えます,使おます,A
聞こえる,聞こうます,聞こいます,聞こえます,聞こます,C
見える,見うます,見うます,見います,見えます,D
立てる,立ています,立てます,立てうます,立ておます,B
入れる,入れうます,入れいます,入れます,入ります,C
出す,出せます,出すます,出します,出さます,C
消す,消します,消さます,消せます,消すます,A
見つける,見ちけます,見つかます,見つきます,見つけます,D
かかる,かからます,かかります,かかるます,かかろます,B
要る,いれます,いうます,いります,いらます,C
頑張る,頑張れます,頑張ります,頑張るます,頑張らます,B
練習する,練習します,練習すます,練習せます,練習さます,A
散歩する,散歩さます,散歩せます,散歩すます,散歩します,D
結婚する,結婚すます,結婚そます,結婚します,結婚せます,C
旅行する,旅行すます,旅行さます,旅行せます,旅行します,D
有る,あれます,あります,あらます,あるます,B
成る,なろます,ならます,なります,なれます,C
