question_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
1,40,並ぶ,ならぶ,ならべる,ならう,ならぬ,A
2,40,貼る,はめる,はる,はれる,はしる,B
3,40,飾る,かわる,かりる,かざる,かぞえる,C
4,S-1,火事,かぜ,かじあ,かじい,かじ,D
5,S-1,救急,きゅうきゅう,きょきょ,きゅうきょ,いきゅう,A
6,S-1,倒れて,ためて,たおれて,たすけて,たてて,B
7,S-1,消防,しょうじょ,しょうばい,しょうぼう,しょぼう,C
8,S-1,落ち着いてください,おきついて,おしついて,おちついて,おちついてください,D
9,S-1,意識,いしき,いじき,いしん,いし,A
10,S-1,向かって,まわって,むかって,もらって,ままって,B
11,S-1,点滴,てんてん,てんき,てんてき,でんき,C
12,S-1,実は,じつに,しつは,じぶんは,じつは,D
13,39,壊れて,こわれて,こぼれて,こねて,こめて,A
14,39,無くして,なして,なくして,なくなって,ながして,B
15,39,迷って,ままって,まじって,まよって,まもって,C
16,39,忘れて,わらって,わかれて,わかって,わすれて,D
17,39,遅れて,おくれて,おくって,おきて,おこなって,A
18,39,混んで,はんで,こんで,すんで,よんで,B
19,39,増える,かえる,ひえる,ふえる,もえる,C
