question_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
1,1,わたしは せんせい（ ）。,ます,です,ません,ました,B
2,1,わたしは まいにち コーヒーを のみ（ ）。,ます,です,ません,ました,A
3,1,これは ほん（ ）。,ます,です,ません,ました,B
4,1,わたしは あした しごとを し（ ）。,ます,です,ません,ました,A
5,1,わたしの かばんは あお＿＿。,ます,です,ません,ました,B
6,1,このいぬはとても（ ）。,おおきいです,おおきくありません,おおきくないです,きれいです,A
7,1,このまちは（ ）。 たくさんの人がいます。,おおきくないです,きれいじゃありません,きれいです,あめです,C
8,1,きのうは（ ）。 さんぽができませんでした。,おおきいです,きれいです,あめです,きれいじゃありません,C
9,1,このへやは（ ）。 もっとひろいへやがほしいです。,a. おおきいです,b. おおきくありません,c. きれいです,d. あめです,B
10,2,これはあなたのかばん（ ）。,ね,よ,か,を,C
11,2,このケーキ、おいしい（ ）！,か,よ,ね,を,B
12,2,A:きょうはさむい（ ）。 B: そうですね。,か,よ,ね,は,C
13,2,A: あした、がっこうへいきます（ ）。B: はい、いきます。,か,ね,よ,を,A
277,38,音楽を＿＿＿＿ながら、べんきょうします。,聞きます,聞いて,聞き,聞く,C
278,38,テレビを＿＿＿＿ながら、ごはんを食べました。,見ます,見て,見,見る,C
279,38,あるき＿＿＿＿ながら、友だちと話しました。,ます,ましょう,いて,ながら,D
280,38,母はりょうりを＿＿＿＿ながら、ラジオを聞いていました。,して,します,し,した,C
281,38,私はコーヒーを＿＿＿＿ながら、本を読みます。,飲みます,飲みません,飲みない,飲み,D
282,39,きのうのえいがはとても＿＿＿＿。,おもしろいです,おもしろくないです,おもしろかったです,おもしろくなかったです,C
283,39,先週のテストは＿＿＿＿。,むずかしいです,むずかしかったです,むずかしくないです,むずかしくなかったです,B
284,39,きのうの天気は＿＿＿＿。,いいです,よくないです,よかったです,よくなかったです,C
285,39,＿＿＿＿旅行でです,楽しい,楽しかった,楽しいに,楽しいの,A
286,39,そのレストランのりょうりは＿＿＿＿。,おいしいです,おいしくないです,おいしかったです,おいしくなかったです,C
287,39,＿＿＿＿パーティーでした。,にぎやかな,にぎやかでした,にぎやかではない,にぎやかではありませんでした,A
288,39,＿＿＿＿映画でした。,おもしろい,おもしろかった,おもしろくない,おもしろくなかったです,A
289,39,＿＿＿＿先生でした。,しんせつではない,しんせつでした,しんせつな,しんせつではありませんでした,C
290,42,おなかがすきました＿＿、ごはんがありません。,けど,ので,から,でも,A
291,42,このかばんはきれいです＿＿、ちょっと高いです。,それで,けど,それから,そして,B
292,42,日本語はむずかしいです＿＿、おもしろいです。,なので,けど,から,けれども,B
293,42,きょうはひまです＿＿、でかけません。,けど,そして,それに,かもしれません,A
294,42,このシャツは好きです＿＿、サイズがちいさいです。,けど,それで,から,ので,A
295,43,"A: もう朝ごはんを食べましたか。
B: はい、＿＿＿＿。",食べません,食べました,食べています,食べないです,B
296,43,A: その本、もう＿＿＿＿か。,よみます,よんでいます,よみました,よまないです,C
297,43,"A: 宿題はもうしましたか。
B: はい、＿＿＿＿。",しました,していません,します,していないです,A
298,43,"A: もう日本へ行きましたか。
B: はい、＿＿＿＿。",行きます,行っています,行きました,行かないです,C
299,43,"A: もう先生にメールをおくりましたか。
B: はい、＿＿＿＿。",おくりました,おくりませんでした,おくっています,おくりません,A
300,44,まだごはんを＿＿＿＿。,食べました,食べています,食べていません,食べませんでした,C
301,44,まだレポートを＿＿＿＿。,書きました,書いています,書いていません,書きませんでした,C
302,44,"A: もうその映画を見ましたか。
B: いいえ、まだ＿＿＿＿。",見ていません,見ました,見ています,見ないです,A
303,44,まだ朝ごはんを＿＿＿＿。,食べました,食べています,食べていない,食べましょう,C
304,44,友だちからのメールはまだ＿＿＿＿。,きました,よみました,よんでいます,よんでいません,D
305,44,まだ日本語を＿＿＿＿。,勉強しました,勉強していません,勉強しています,勉強しませんでした,B
