question,choice_a,choice_b,choice_c,choice_d,answer
あつい,あつかった,あつくなかった,あつくて,あつそう,B
さむい,さむかった,さむそう,さむくなかった,さむい,D
たかい,たかくなかった,たかかった,たかそう,たかい,A
ひくい,ひくかった,ひくくなかった,ひくそう,ひくい,C
おおきい,おおきくなかった,おおきかった,おおきそう,おおきい,A
ちいさい,ちいさくなかった,ちいさかった,ちいさそう,ちいさい,A
ながい,ながくなかった,ながかった,ながそう,ながい,A
みじかい,みじかった,みじかそう,みじかくなかった,みじかい,D
はやい,はやそう,はやかった,はやくなかった,はやい,D
おそい,おそかった,おそくなかった,おそそう,おそい,C
あたらしい,あたらしかった,あたらしそう,あたらしくなかった,あたらしい,D
ふるい,ふるくなかった,ふるかった,ふるそう,ふるい,A
わるい,わるかった,わるそう,わるくなかった,わるい,D
いい,よかった,よくなかった,よくて,いい,C
おもしろい,おもしろくなかった,おもしろかった,おもしろそう,おもしろい,B
たのしい,たのしかった,たのしそう,たのしくなかった,たのしい,D
うれしい,うれしくなかった,うれしかった,うれしそう,うれしい,A
かなしい,かなしかった,かなしくなかった,かなしそう,かなしい,C
つよい,つよかった,つよくなかった,つよそう,つよい,C
よわい,よわかった,よわくなかった,よわそう,よわい,C
あまい,あまくなかった,あまかった,あまそう,あまい,A
からい,からくなかった,からかった,からそう,からい,A
すずしい,すずしくなかった,すずしかった,すずしそう,すずしい,A
さびしい,さびしくなかった,さびしかった,さびしそう,さびしい,B
いそがしい,いそがしかった,いそがしくなかった,いそがしそう,いそがしい,C
しずか,しずかじゃなかった,しずかだった,しずかそう,しずかで,A
にぎやか,にぎやかだった,にぎやかじゃなかった,にぎやかそう,にぎやかで,B
きれい,きれいじゃなかった,きれいだった,きれいそう,きれいで,A
ゆうめい,ゆうめいじゃなかった,ゆうめいだった,ゆうめいそう,ゆうめいで,A
げんき,げんきだった,げんきで,げんきそう,げんきじゃなかった,D
