question,choice_a,choice_b,choice_c,choice_d,answer
あつい,あつい,あつかった,あつくて,あつそう,B
さむい,さむかった,さむい,さむくて,さむそう,A
たかい,たかそう,たかくて,たかかった,たかい,C
ひくい,ひくい,ひくかった,ひくくて,ひくそう,B
おおきい,おおきかった,おおきい,おおきくて,おおきそう,A
ちいさい,ちいさくて,ちいさい,ちいさかった,ちいさそう,C
ながい,ながそう,ながかった,ながい,ながくて,B
みじかい,みじかった,みじかくて,みじかい,みじかそう,B
はやい,はやかった,はやくて,はやそう,はやい,A
おそい,おそくて,おそかった,おそい,おそそう,C
あたらしい,あたらしかった,あたらしそう,あたらしくて,あたらしい,A
ふるい,ふるそう,ふるかった,ふるい,ふるくて,C
わるい,わるくて,わるかった,わるそう,わるい,C
いい,よくて,よかった,いい,よさそう,C
おもしろい,おもしろかった,おもしろくて,おもしろい,おもしろそう,A
たのしい,たのししく,たのしくて,たのしい,たのしかった,D
うれしい,うれしかった,うれしくて,うれしい,うれしそう,A
かなしい,かなしかった,かなしい,かなしくて,かなしそう,B
つよい,つよかった,つよくて,つよそう,つよい,A
よわい,よわそう,よわい,よわくて,よわかった,D
あまい,あまかった,あまい,あまくて,あまそう,A
からい,からかった,からくて,からい,からそう,B
すずしい,すずしかった,すずしい,すずしくて,すずしそう,A
さびしい,さびしそう,さびしくて,さびしかった,さびしい,C
いそがしい,いそがしだった,いそがしい,いそがしくて,いそがしかった,D
しずか,しずかった,しずかだった,しずか,しずかそう,B
にぎやか,にぎやかだった,にぎやか,にぎやかで,にぎやかそう,A
きれい,きれいかった,きれい,きれいで,きれいだった,D
ゆうめい,ゆうめかった,ゆうめいだった,ゆうめいで,ゆうめいそう,B
げんき,げんきで,げんき,げんきだった,げんきそう,C
