question,choice_a,choice_b,choice_c,choice_d,answer
食べます → ?,食べる,食べた,食べて,食べよう,C
行きます → ?,行って,行った,行く,行こう,A
飲みます → ?,飲む,飲んで,飲みた,飲んだ,B
見ます → ?,見て,見る,見た,見よう,A
来ます → ?,来た,来て,来る,来よう,B
します → ?,した,して,する,しょう,B
書きます → ?,書いて,書く,書いた,書こう,A
聞きます → ?,聞いて,聞く,聞いた,聞こう,A
話します → ?,話して,話した,話す,話そう,A
会います → ?,会う,会って,会った,会おう,C
遊びます → ?,遊んだ,遊ぶ,遊んで,遊ぼう,D
立ちます → ?,立った,立って,立つ,立とう,C
買います → ?,買う,買って,買った,買おう,C
読みます → ?,読む,読んで,読んだ,読もう,C
作ります → ?,作った,作る,作って,作ろう,D
使います → ?,使って,使った,使う,使おう,A
待ちます → ?,待つ,待った,待って,待とう,D
帰ります → ?,帰って,帰る,帰った,帰ろう,A
洗います → ?,洗う,洗った,洗って,洗おう,D
寝ます → ?,寝る,寝た,寝て,寝よう,C
開けます → ?,開ける,開けた,開けて,開けよう,C
閉めます → ?,閉める,閉めた,閉めて,閉めよう,C
起きます → ?,起きる,起きた,起きて,起きよう,C
教えます → ?,教える,教えた,教えて,教えよう,D
降ります → ?,降る,降って,降った,降りて,D
入ります → ?,入って,入る,入った,入ろう,A
出ます → ?,出て,出る,出た,出よう,A
思います → ?,思う,思って,思った,思おう,C
分かります → ?,分かる,分かった,分かって,分かろう,D
忘れます → ?,忘れる,忘れた,忘れて,忘れよう,D
立ちます → ?,立って,立つ,立った,立とう,A
持ちます → ?,持つ,持った,持って,持とう,D
死にます → ?,死んだ,死ぬ,死んで,死のう,C
泳ぎます → ?,泳ぐ,泳いだ,泳いで,泳ごう,D
消します → ?,消す,消した,消して,消そう,D
押します → ?,押す,押した,押して,押そう,D
飛びます → ?,飛んだ,飛ぶ,飛んで,飛ぼう,D
走ります → ?,走った,走る,走って,走ろう,D
切ります → ?,切る,切った,切って,切ろう,D
住みます → ?,住む,住んで,住んだ,住もう,C
